Trial,Cue,Category,Prob_cat,CueOnset,CueOffset,Prediction,ReactionTime,PredOnset,PredOffset,WordOnset,WordOffset,condition,Correct
72,Cue 1,ANIMAL,Incongruent,689.0927281999029,690.6415377999656,1.0,692.6449881999288,692.1538848998025,693.657528599957,695.1595481999684,696.6582957999781,incongruent,0
73,Cue 2,TOOL,Incongruent,698.1595859997906,699.7083403998986,0.0,701.6951479997952,701.2206680998206,702.7243287998717,704.2263584998436,705.725407899823,incongruent,0
74,Cue 2,TOOL,Incongruent,707.2264050999656,708.7751853999216,1.0,710.7625327999704,710.2874930999242,711.7911721998826,713.2932115998119,714.7919834998902,incongruent,1
75,Cue 1,ANIMAL,Incongruent,716.2934266999364,717.8753567999229,0.0,719.9582339997869,719.3878504999448,720.8919413997792,722.3933586999774,723.8921369998716,incongruent,1
76,Cue 1,ANIMAL,Incongruent,725.3934851000085,726.9755395997781,0.0,728.9916898999363,728.4878284998704,729.9915448999964,731.4935108998325,732.9923066999763,incongruent,1
77,Cue 1,ANIMAL,Incongruent,734.4935737999622,736.0423693999182,0.0,738.0626278999262,737.5546612998005,739.0583683999721,740.5603772997856,742.0591764999554,incongruent,1
78,Cue 2,TOOL,Incongruent,743.5604314999655,745.1092105999123,1.0,746.8920212998055,746.6215765997767,748.1252123999875,749.6272082999349,751.1260231998749,incongruent,1
79,Cue 1,ANIMAL,Incongruent,752.6272278998513,754.1760432999581,0.0,756.0589067998808,755.6884107999504,757.1920495999511,758.6940356998239,760.19282129989,incongruent,1
80,Cue 1,ANIMAL,Incongruent,761.6940945999231,763.2428857998457,0.0,765.1964105998632,764.7551699997857,766.2587012997828,767.7609054998029,769.2596661997959,incongruent,1
81,Cue 2,ANIMAL,Congruent,770.7609443999827,772.3097302999813,1.0,774.1466093999334,773.8219701999333,775.3257281999104,776.8279259998817,778.3264986998402,congruent,1
82,Cue 2,ANIMAL,Congruent,779.8277683998458,781.3766259998083,0.0,783.2423909998033,782.8810397998895,784.3926262999885,785.8945549998898,787.3933464998845,congruent,1
83,Cue 2,ANIMAL,Congruent,788.8946159998886,790.4434213999193,0.0,792.4429160999134,791.9557750998065,793.4594924999401,794.9613907998428,796.4601773999166,congruent,1
84,Cue 1,TOOL,Congruent,797.9614524999633,799.5101957998704,1.0,801.4971740997862,801.0225028998684,802.5262968000025,804.0282265997957,805.5270138999913,congruent,1
85,Cue 2,ANIMAL,Congruent,807.0282778998371,808.5770458998159,0.0,810.5638052998111,810.0893253998365,811.5930219998118,813.0950872998219,814.5938488999382,congruent,1
86,Cue 1,TOOL,Congruent,816.0952168998774,817.643969199853,1.0,819.7934447999578,819.1570948997978,820.6765950999688,822.1785647999495,823.6773547998164,congruent,1
87,Cue 1,ANIMAL,Congruent,825.1786260998342,826.7273915999103,1.0,828.793626499828,828.2396499000024,829.7435040997807,831.2453969998751,832.7442325998563,incongruent,0
88,Cue 1,TOOL,Congruent,834.2455827000085,835.7942561998498,0.0,837.8102233998943,837.3064928997774,838.8102691997774,840.3123857998289,841.8110496997833,congruent,1
89,Cue 1,TOOL,Congruent,843.3122877997812,844.8778706998564,0.0,846.9479952999391,846.3900260999799,847.8935225999448,849.3957453998737,850.8945303999353,congruent,1
90,Cue 1,ANIMAL,Congruent,852.3959230999462,853.9436981999315,1.0,856.1106039998122,855.4568424997851,856.9605961998459,858.4626056998968,859.9614089999814,incongruent,0
91,Cue 2,TOOL,Incongruent,861.4626524997875,863.0114274998195,1.0,864.9107643999159,864.5236475998536,866.0272051999345,867.529443899868,869.0282215999905,incongruent,1
92,Cue 2,TOOL,Incongruent,870.5294913998805,872.0616385999601,1.0,874.3442560997792,873.5738271998707,875.0773897999898,876.578632599907,878.0784235999454,incongruent,1
93,Cue 1,ANIMAL,Incongruent,879.5796858998947,881.1284420997836,0.0,883.0112775999587,882.6407897998579,884.1444397999439,885.6464336998761,887.1452269998845,incongruent,1
94,Cue 1,ANIMAL,Incongruent,888.6465050999541,890.1952609999571,0.0,892.1947784000076,891.7075631998014,893.2113128998317,894.7132639999036,896.2120974999852,incongruent,1
95,Cue 1,ANIMAL,Incongruent,897.7133445998188,899.2621233998798,0.0,901.295078099938,900.7744176997804,902.2782003998292,903.7801570999436,905.2789001998026,incongruent,1
96,Cue 1,ANIMAL,Incongruent,906.7801992997992,908.3289396998008,0.0,910.2657791997772,909.8413090999238,911.3449652998244,912.846934999805,914.3457261999138,incongruent,1
97,Cue 1,TOOL,Incongruent,915.8471485998016,917.3957773998844,0.0,919.4117843999992,918.9080055998638,920.4122490999288,921.9137844999786,923.4125720998272,congruent,1
98,Cue 1,ANIMAL,Incongruent,924.9138389998116,926.4626058998984,1.0,928.6286167998333,927.9749399998692,929.4950713999568,930.997277499875,932.4960512998514,incongruent,0
99,Cue 2,TOOL,Incongruent,933.9974654999096,935.5461159998084,1.0,937.4788129997904,937.0584006998688,938.5619659000076,940.0640924999024,941.5629110999872,incongruent,1
100,Cue 2,TOOL,Incongruent,943.0641616999636,944.6129906999412,1.0,946.6123517998494,946.1253496999852,947.6289949999192,949.130956799956,950.6297386998776,incongruent,1
