timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
50,0.8211101406410157,0.8180846995654121,0.8111858967388756,0.8207284736389315,0.8139685741751728,0.8292111588767259,0.8211101406410157,0.7807963097197432,0.7346723109342537,0.8201691812666172,0.8071036886197765
51,0.42622937381943293,0.42702734555388355,0.4287106602478241,0.42633213256072455,0.4280538153601392,0.42389758188664994,0.42622937381943293,0.4341514424935118,0.4372520731649858,0.42648161260546535,0.42843654115120505
52,0.09480943926036978,0.09674989159947778,0.10115490515494474,0.09505453338258452,0.09938133972596885,0.08958547321552435,0.09480943926036978,0.120249836380669,0.14815738356668717,0.09541353420404963,0.10353657757506456
53,-0.04518854186578358,-0.04411394617933784,-0.0416240902892796,-0.04505357925450193,-0.04263485256341237,-0.04801052169938125,-0.04518854186578358,-0.030063309128253946,-0.01087279974051425,-0.044855490519345564,-0.039760567310559394
54,-0.08990662313156461,-0.08946834859535946,-0.0884379464210363,-0.08985182362249322,-0.08885849470256935,-0.09103326761136177,-0.08990662313156461,-0.08349997716125057,-0.07525198289550239,-0.08977126118554635,-0.08759863484582486
55,-0.10223702433832937,-0.10207787759764952,-0.1016958425328468,-0.10221726810468934,-0.10185283240818432,-0.10263090440119904,-0.10223702433832937,-0.09983608678084532,-0.0971411788009966,-0.10218814553360656,-0.10141141848366764
56,-0.10374455222341716,-0.10368359923684589,-0.10353318624706942,-0.10373706885250611,-0.10359546544385345,-0.10388582621210773,-0.10374455222341716,-0.10281991854070327,-0.1022743003921407,-0.1037259906983985,-0.10347444600704594
57,0.2551880036701948,0.2540656200025786,0.25148147792226005,0.2550469202846444,0.2525268220644221,0.2581344029357815,0.2551880036701948,0.24019299533831395,0.22562221539685012,0.25483989494066295,0.25022863562259035
58,-0.09391803498676832,-0.09374115199798216,-0.09332482542078169,-0.09389595671141193,-0.09349456965362923,-0.09436636896675332,-0.09391803498676832,-0.09143595453156683,-0.08914123436219756,-0.09386347477980428,-0.09310996063976637
59,-0.10014602423687247,-0.1000455885633047,-0.09980416615857579,-0.10013358632626623,-0.09990322380594363,-0.10038953196158262,-0.10014602423687247,-0.0987146754962922,-0.09783398791328246,-0.10011523262767474,-0.09972320413266673
60,0.21965966771621837,0.21899411114683498,0.2174455628855656,0.21957628755816216,0.21807434138534187,0.22137794253560727,0.21965966771621837,0.2105660906881015,0.202038548917582,0.21945378398806792,0.21668460045377
61,0.06985203408320517,0.06959553533582996,0.06900493109243055,0.06981974726823625,0.069244215140845,0.07053379010126215,0.06985203408320517,0.0662666572259718,0.06153269918725979,0.06977239893197784,0.06854740424502237
62,-0.02155937285937437,-0.02163611239687757,-0.02179441262295778,-0.021569380622226686,-0.021732706409827274,-0.021317002548409292,-0.02155937285937437,-0.02250202757661135,-0.024875616407385115,-0.02158386542766544,-0.022012986973070924
63,-0.0669389726515508,-0.06697551420421899,-0.06703106126674008,-0.06694408793628215,-0.0670125352878761,-0.06678686047137694,-0.0669389726515508,-0.06715760736803389,-0.06850069114725077,-0.06695130832311103,-0.06712376113079915
64,-0.08711870307522451,-0.0871387198641198,-0.08715518040112702,-0.08712174796703764,-0.08715270762654703,-0.08701015980208282,-0.08711870307522451,-0.08706223867964036,-0.0878078368890236,-0.08712592777151729,-0.08718119251515447
65,-0.09498340100139602,-0.0949788750931918,-0.09494359333527969,-0.09498327356748759,-0.09496139717685836,-0.09494868899810427,-0.09498340100139602,-0.09464193150789679,-0.09490097750343074,-0.09498284612925734,-0.09493083853142986
66,-0.09694083595350722,-0.0969047585396896,-0.09680440459451378,-0.096936610429872,-0.09684743742121504,-0.09700269395856176,-0.09694083595350722,-0.09627176047362951,-0.0961061899823229,-0.09693024115070459,-0.09676857684575237
67,-0.096049988301535,-0.09598107930027788,-0.0958135460141516,-0.09604149085668723,-0.0958825242490311,-0.09621300791975296,-0.096049988301535,-0.09505435390663264,-0.09452886547836092,-0.09602893150641623,-0.09576437758343806
68,-0.09379433529090653,-0.09369516480638362,-0.09346608589752137,-0.09378189425284444,-0.09355876838187605,-0.09405121760587576,-0.09379433529090653,-0.092505379011245,-0.0916851923225952,-0.09376362373990943,-0.09340959966000639
69,-0.09091524797355754,-0.09079010788764919,-0.09050852699477363,-0.09089941712827421,-0.09062137858874197,-0.09125327881308631,-0.09091524797355754,-0.08937958467215579,-0.08832406343691301,-0.09087624035832986,-0.0904483093827039
70,0.4083342064509816,0.40762483448940356,0.40596519721460567,0.4082456407902546,0.40663922442764866,0.4101229280504881,0.4083342064509816,0.39907424283567217,0.39533617413825617,0.408115338460449,0.4057791993308742
71,0.20652057183217742,0.20657344204043682,0.20663697524141367,0.20652824946315151,0.20661955281635258,0.20627298295569552,0.20652057183217742,0.2065663419250381,0.20802766793694638,0.20653895376171771,0.20668053098051073
72,0.04937443201126368,0.04976176674674315,0.050611730708217006,0.049423807290317257,0.050274289364991454,0.04828924434667914,0.04937443201126368,0.05386749796432966,0.057395999322544355,0.049495891614632415,0.05078690913809818
73,-0.03584290929107081,-0.035518080792637186,-0.03478133896269786,-0.035801926612824,-0.035077415355259434,-0.03670815554537166,-0.03584290929107081,-0.031804265933685905,-0.029211803265114078,-0.035741866801153876,-0.03463306718508856
74,-0.07456092558361127,-0.07435897299901739,-0.07388839114452506,-0.07453567169604824,-0.07407929397311175,-0.07507469363303443,-0.07456092558361127,-0.07191864632732525,-0.07058591995122931,-0.07449853933620065,-0.07380619802277147
75,-0.09053824486408879,-0.09041114648106541,-0.09010813977437282,-0.09052247695663629,-0.09023199654346359,-0.09084794403432883,-0.09053824486408879,-0.08880936531837658,-0.08816153343398847,-0.09049922321346826,-0.09006683154838778
76,-0.09609289105767804,-0.09599518809349461,-0.09576141450488962,-0.09608078698758271,-0.09585707317914904,-0.09632897870355372,-0.09609289105767804,-0.09475998474861669,-0.09431667136578747,-0.09606292687585605,-0.0957348806574286
77,-0.09683999139744037,-0.09674528286009587,-0.09652277659979613,-0.09682818468794352,-0.09661326632176293,-0.09707670516944622,-0.09683999139744037,-0.0955929930858731,-0.09509878285994233,-0.09681080413124388,-0.09649687785109848
78,-0.09533687533069457,-0.09523269985026828,-0.09499372214341806,-0.09532378366952365,-0.09509011983394755,-0.09560856439948617,-0.09533687533069457,-0.09402559847703829,-0.0933747174609958,-0.09530456937730736,-0.09496275258733743
79,-0.09279045516138218,-0.09267226874332257,-0.09240635199009206,-0.09277550781758337,-0.0925128895291184,-0.09310899167157405,-0.09279045516138218,-0.09135645680745585,-0.09052091307019328,-0.09275362203169502,-0.0923687911983799
80,0.37272795782602897,0.37160181683221283,0.36905238410319985,0.3725858416435319,0.3700758418490029,0.3757272748216822,0.37272795782602897,0.35895468554207244,0.3514386471063444,0.37237758480054484,0.3687269992350649
81,0.18255474403682692,0.18231172365126036,0.1817345532923218,0.18252454799630868,0.18197023640143106,0.18315242640039298,0.18255474403682692,0.17924560945437418,0.17770889690209435,0.18248004294482767,0.1816237525116665
82,0.03886591170571019,0.039102599980213704,0.039616512972214135,0.03889616600077206,0.03941342360559119,0.03819512143182413,0.03886591170571019,0.04149569067044423,0.043252722342183025,0.0389402921621953,0.039664435257685815
83,-0.03900544136269124,-0.03872329685479281,-0.03808891832865413,-0.03896976051568235,-0.038342935314205184,-0.03976455782596777,-0.03900544136269124,-0.03561043347791615,-0.033711257444053566,-0.038917514226554095,-0.038013955671320855
84,-0.0748831339487166,-0.07467114181978696,-0.0741856717014312,-0.07485648416815416,-0.0743813340100552,-0.07543633901633062,-0.0748831339487166,-0.07223838378699399,-0.07099076694793971,-0.07481737511954634,-0.07413437644676714
85,-0.08993955605569315,-0.08978345929009823,-0.0894219920872823,-0.08992000623643659,-0.0895682346705764,-0.09033890252755916,-0.08993955605569315,-0.08795213670778845,-0.08713069013587604,-0.08989127631169902,-0.08938858100787025
86,0.16506960758312728,0.16452149412293648,0.16327348171713085,0.16500058887768,0.16377534671891492,0.16651087700855838,0.16506960758312728,0.15834554380003296,0.1551991116849596,0.16489936371052716,0.16316650228069948
