timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
64,-0.06738761406566518,-0.06738761406566518,-0.1038898983759039,-0.05096243984696924,-0.09286628870262592,-0.06738761406566518,-0.06635070998713732,-0.06635070998713732,-0.059257885480034744,-0.03345900234223065,-0.06752997769190347
65,-0.0641893739360423,-0.0641893739360423,-0.09539200479024768,-0.04949387473436684,-0.0861260544386363,-0.0641893739360423,-0.06327643936987548,-0.06327643936987548,-0.05698034925989337,-0.033199379200640755,-0.06403126629716628
66,-0.05959482928676907,-0.05959482928676907,-0.08635856964267907,-0.04666211985769786,-0.07845378405777625,-0.05959482928676907,-0.05880038828334744,-0.05880038828334744,-0.0532912493206259,-0.03187283242648098,-0.059302381973226216
67,-0.05474652760706722,-0.05474652760706722,-0.07807125905885948,-0.04336639073300741,-0.07116297375077596,-0.05474652760706722,-0.05405222517335584,-0.05405222517335584,-0.04922242917422559,-0.030060091989916438,-0.05442271778746982
68,-0.05013539837459369,-0.05013539837459369,-0.07084146701402139,-0.04005174973585146,-0.06466084887686674,-0.05013539837459369,-0.0495222098312178,-0.0495222098312178,-0.04525133685512739,-0.028085565281572134,-0.04983415825496558
69,-0.045942027257945384,-0.045942027257945384,-0.06464141803337664,-0.03692146440681332,-0.059001994806587854,-0.045942027257945384,-0.04539381452067692,-0.04539381452067692,-0.04157599826820879,-0.026122098202563393,-0.045687668453274
70,0.043363467217120366,0.043363467217120366,0.06717818314632229,0.03349271957841804,0.059239314430176826,0.043363467217120366,0.042742598083152616,0.042742598083152616,0.03849604182305044,0.02258606559963905,0.0436567922395273
71,0.004378939966198425,0.004378939966198425,0.008440195651234328,0.0031019436715187254,0.006933114601518797,0.004378939966198425,0.004291945092451677,0.004291945092451677,0.003721552196096045,0.0019233924969201954,0.004584090870078672
72,-0.030228446703999268,-0.030228446703999268,-0.049327433543186916,-0.022917808636923054,-0.04274947936559281,-0.030228446703999268,-0.02975863884832952,-0.02975863884832952,-0.02658276242928992,-0.015161522526517146,-0.03069416243101667
73,-0.050169680589977506,-0.050169680589977506,-0.08228384388759669,-0.038022356604132335,-0.07122217442115208,-0.050169680589977506,-0.0493856416185503,-0.0493856416185503,-0.044098746716224824,-0.02520318878979111,-0.051011063542593015
74,-0.05819336965523225,-0.05819336965523225,-0.09305822313472945,-0.04457491488487875,-0.08128057511660158,-0.05819336965523225,-0.05732082054520338,-0.05732082054520338,-0.05141465292303382,-0.029923184563852567,-0.05894733006791997
75,-0.05937964368623927,-0.05937964368623927,-0.09208575716728928,-0.04608639995624253,-0.08127789890880255,-0.05937964368623927,-0.058536383643874035,-0.058536383643874035,-0.0527988656768279,-0.03141984056133973,-0.05988804606169679
